,b_num,b_size_max,b_size_mean,b_size_min,b_size_std,b_size_sum,b_time_max,b_time_mean,b_time_min,b_time_std,class,f_num,f_size_max,f_size_mean,f_size_min,f_size_std,f_size_sum,f_time_max,f_time_mean,f_time_min,f_time_std,f_ttl_mean,t_num,t_size_max,t_size_mean,t_size_min,t_size_var
54,13,1414,984.923076923,60,585.403630204,12804,13.5026290417,1.18500341972,9.53674316406e-07,3.88001091081,4,8,427,157.5,54,147.266522236,1260,0.197947025299,0.125771284103,0.000159025192261,0.0862638940419,128.0,21,1414,669.714285714,54,382736.214286
55,8,1414,611.75,60,606.057694095,4894,0.167114019394,0.0934894425528,5.00679016113e-06,0.0868657577247,5,9,923,268.333333333,54,307.559343867,2415,0.165254831314,0.101852893829,0.00011420249939,0.0834015624174,128.0,17,1414,429.941176471,54,239210.808824
56,29,1615,173.965517241,66,302.898201046,5045,45.0689189434,8.5870159609,1.4066696167e-05,17.5331755467,0,26,583,137.461538462,66,137.435433792,3574,45.0680749416,9.61751179695,1.78813934326e-05,18.3172926586,64.0,55,1615,156.709090909,66,56655.6545455
57,26,1474,280.153846154,60,452.856594724,7284,45.0522871017,9.62205083847,2.86102294922e-06,18.3011900296,5,21,1176,152.952380952,54,248.652865696,3212,45.0521979332,12.0283870935,8.48770141602e-05,19.8141378616,128.0,47,1474,223.319148936,54,142424.091582
58,155,1414,1116.49677419,66,527.593512044,173057,0.0660030841827,0.00273901920814,1.19209289551e-05,0.00998536173642,3,120,1414,130.158333333,66,174.0009657,15619,0.0805809497833,0.00321404072417,6.91413879395e-06,0.0130286969879,64.0,275,1414,686.094545455,66,409746.319496
59,121,1414,432.719008264,60,447.096638009,52359,69.8468239307,3.58217539986,0.0,10.520559221,4,108,1227,553.0,54,507.68138879,59724,69.7704339027,4.01810515707,4.6968460083e-05,11.0400362201,128.0,229,1414,489.445414847,54,229786.256876
60,52,4110,1943.21153846,66,879.280640393,101047,0.0715310573578,0.00778060800889,0.000235080718994,0.0203676203442,0,45,1033,91.0888888889,54,149.013852654,4099,0.0745401382446,0.0105862509121,9.05990600586e-06,0.0240147167198,64.0,97,4110,1083.97938144,54,1282915.16624
61,6,1414,716.333333333,66,711.600356005,4298,10.0037240982,2.01550421715,0.000171899795532,4.46566176536,3,6,264,101.0,66,79.9974999609,606,10.003775835,2.03017320633,0.000185012817383,4.45752743871,64.0,12,1414,408.666666667,66,336343.515152
62,159,1414,424.452830189,60,440.714102599,67488,57.8308420181,2.7859338024,0.0,7.68880146689,4,138,2155,562.507246377,54,525.480791267,77626,57.7523369789,3.21296396395,3.88622283936e-05,8.14789781684,128.0,297,2155,488.599326599,54,236236.639594
63,142,1414,484.887323944,60,472.326655487,68854,30.1984829903,1.9280410354,0.0,4.23110230633,4,149,1211,545.281879195,54,488.977243163,81247,29.9450879097,1.8368571755,2.8133392334e-05,4.04858995593,128.0,291,1414,515.810996564,54,231406.395189
64,161,1414,438.229813665,60,470.690798833,70555,29.8668911457,2.42076586783,9.53674316406e-07,5.89836835576,4,150,1243,550.253333333,54,495.841460735,82538,29.7874259949,2.59948188507,9.10758972168e-05,6.04297806321,128.0,311,1414,492.260450161,54,235662.619044
65,20,218,91.45,66,50.1214052393,1829,45.0918500423,12.6433969548,2.19345092773e-05,20.1778886054,0,18,1406,236.666666667,66,372.565983102,4260,45.0919849873,14.1309191199,0.000239849090576,20.8742146674,64.0,38,1406,160.236842105,66,70464.9423898
66,133,1414,682.030075188,66,577.832023666,90710,229.151228905,1.82763100754,1.78813934326e-05,19.9435651892,3,109,1414,183.311926606,66,294.232859951,19981,229.150973082,2.23380830553,1.69277191162e-05,22.0463007582,64.0,242,1414,457.400826446,66,283497.469377
67,36,1414,1185.41666667,60,501.352933856,42675,6.83022284508,0.212042454311,0.0,1.15260676105,4,28,466,86.8571428571,54,107.490814176,2432,70.9411809444,3.60704977424,0.000164031982422,13.6598237832,128.0,64,1414,704.796875,54,446301.624752
68,149,1414,483.677852349,60,480.900580674,72068,30.23528409,2.48908436459,0.0,5.88977099751,4,149,1835,543.77852349,54,494.443310303,81023,29.9787170887,2.48911658815,9.10758972168e-05,5.78933429651,128.0,298,1835,513.728187919,54,237974.932603
69,182,1414,382.89010989,60,448.076181135,69686,29.7481479645,1.4597179455,0.0,3.75435251628,4,153,2075,663.875816993,54,667.839439815,101573,29.6647000313,1.73822045954,7.00950622559e-05,4.0074095127,128.0,335,2075,511.220895522,54,331425.106748
70,3195,1414,1406.44162754,60,93.5005882729,4493581,31.9382770061,0.0170231555952,1.09672546387e-05,0.671642863555,3,1049,1351,81.8436606292,66,136.533914782,85854,31.9294729233,0.0518832814147,1.09672546387e-05,1.17167300837,64.0,4244,1414,1079.03746466,60,337747.690088
71,584,4110,1775.11986301,60,684.909521399,1036670,0.0440130233765,0.000787399645326,1.19209289551e-06,0.00322388652837,0,354,801,82.8926553672,54,63.0248370688,29344,0.0459089279175,0.0013540878512,2.86102294922e-06,0.00468325951888,64.0,938,4110,1136.47547974,54,966953.269942
72,143,1414,442.622377622,60,453.69689274,63295,32.8818428516,3.57664188701,0.0,7.45576597909,4,154,1867,569.246753247,54,501.059391568,87664,32.6271719933,3.31950650963,4.19616699219e-05,7.13153956062,128.0,297,1867,508.279461279,54,232535.587178
73,25,1414,277.0,60,443.833677557,6925,45.0990300179,10.0130444566,2.00271606445e-05,18.6119705333,6,21,366,102.380952381,54,95.1264822173,2150,45.1533558369,12.0157140493,0.000126838684082,19.8610512551,128.0,46,1414,197.282608696,54,116815.673913
74,157,1163,415.974522293,60,436.514691929,65308,30.3301408291,2.50247070575,9.53674316406e-07,6.40151544493,4,138,1227,543.652173913,54,510.506284442,75024,30.2418501377,2.84953340823,0.000212907791138,6.72908457274,128.0,295,1227,475.701694915,54,226621.665813
75,169,1414,484.272189349,60,491.621633204,81842,17.7610018253,1.31602766116,9.53674316406e-07,2.84342553347,4,152,2123,557.019736842,54,505.829925484,84667,17.6803538799,1.46417951584,0.000181913375854,2.92883303686,128.0,321,2123,518.719626168,54,248947.458645
76,8949,1414,76.6432003576,60,53.8625729991,685880,45.2300150394,0.84427073538,1.59740447998e-05,4.45198102798,6,15828,1414,920.817096285,54,595.203375142,14574693,45.2255618572,0.477320432618,1.90734863281e-06,3.34269613124,128.0,24777,1414,615.916898737,54,391786.171452
77,158,1414,436.64556962,60,446.15518245,68990,30.0161700249,2.67593128666,0.0,6.89473101487,4,139,1851,557.669064748,54,519.249952216,77516,29.9432389736,3.04436213728,4.91142272949e-05,7.25046035953,128.0,297,1851,493.286195286,54,234940.015789
78,163,1414,426.63190184,60,451.125587576,69541,21.805585146,1.7937814998,0.0,3.9961794465,4,150,1227,540.54,54,488.457778877,81081,21.7221939564,1.95037329437,1.38282775879e-05,4.09383455374,128.0,313,1414,481.220447284,54,222861.928811
79,43,1414,817.093023256,66,622.542475658,35135,0.0667889118195,0.00784804707482,1.69277191162e-05,0.0175357917504,3,36,599,114.916666667,66,123.91411196,4137,0.0818409919739,0.00830037253244,1.59740447998e-05,0.0222447307571,64.0,79,1414,497.113924051,66,339438.640701
80,164,1414,402.93902439,60,447.16985553,66082,10.5567409992,1.54863595085,0.0,2.97991168207,4,158,1739,567.132911392,54,498.585989165,89607,10.4753110409,1.6078230955,8.60691070557e-05,2.98274689317,128.0,322,1739,483.50621118,54,229879.858217
81,13,2895,585.846153846,66,985.596845077,7616,10.2481479645,5.08910832802,0.00022292137146,5.1744906437,0,17,514,112.529411765,66,118.194816747,1913,10.240049839,3.83049157262,4.41074371338e-05,4.96754222956,64.0,30,2895,317.633333333,66,466575.136782
82,28,1414,471.107142857,60,593.502618752,13191,10.0939030647,4.27504352287,6.50882720947e-05,4.97512496405,5,24,571,98.875,54,128.596204048,2373,10.0937740803,5.02184039613,5.60283660889e-05,5.02474075102,128.0,52,1414,299.307692308,54,229050.099548
83,9,1414,636.111111111,60,634.646839676,5725,0.386760950089,0.130395740271,6.19888305664e-05,0.158368603524,6,10,800,192.5,54,242.898812952,1925,0.393941164017,0.146912124422,0.000234127044678,0.143734609392,128.0,19,1414,402.631578947,54,260298.80117
84,63,1414,431.095238095,66,557.011024223,27159,45.1637568474,4.71156219513,1.90734863281e-06,13.0163209379,1,46,654,143.326086957,66,148.807266004,6593,45.164000988,6.49150862164,0.000133991241455,14.9417542298,64.0,109,1414,309.651376147,66,207725.673632
85,268,1414,1335.76492537,60,290.913929832,357985,8.23228311539,0.0761385392607,3.09944152832e-06,0.681971530776,6,143,489,74.0,54,86.1994902112,10582,8.16083097458,0.143168801993,0.000178098678589,0.922595241429,128.0,411,1414,896.756690998,54,419764.672364
86,154,1414,468.512987013,60,471.32336619,72151,12.5192129612,1.44927825491,9.53674316406e-07,2.91441245596,4,151,1531,543.324503311,54,482.942184941,82042,12.2662770748,1.47967701435,1.31130218506e-05,2.82534312368,128.0,305,1531,505.550819672,54,228289.406126
87,15,1414,466.333333333,66,557.709431087,6995,0.121058940887,0.0277755601065,6.91413879395e-06,0.0444238857268,3,19,551,118.473684211,66,116.398915813,2251,0.0893061161041,0.0192846192254,6.91413879395e-06,0.0349824956345,64.0,34,1414,271.941176471,66,170083.390374
88,70,1414,425.085714286,60,457.333694898,29756,61.4980928898,2.47414000138,1.90734863281e-06,7.86277059938,4,69,1883,530.985507246,54,498.26786715,36638,61.2829852104,2.51367730954,0.000293016433716,7.8473848239,128.0,139,1883,477.654676259,54,229737.285684
89,15,216,89.8,66,41.7307697372,1347,45.0740799904,17.1600576469,1.78813934326e-05,21.9193022373,0,17,583,118.647058824,66,129.402444517,2017,45.072067976,15.0147572607,0.000180006027222,21.2331553828,64.0,32,583,105.125,66,9642.9516129
90,20,1414,847.25,60,657.435998486,16945,6.92695999146,0.38098700423,1.19209289551e-06,1.58549236943,5,12,571,141.25,54,183.337802976,1695,6.92700195312,0.658072818409,4.88758087158e-05,2.07951063524,128.0,32,1414,582.5,54,397426.774194
91,52,1414,813.076923077,60,642.11222665,42280,10.0783479214,2.28356683955,0.0,4.18802393437,5,28,648,90.0357142857,54,119.983481006,2521,10.0799069405,4.31609759507,1.8835067749e-05,4.95568380242,128.0,80,1414,560.0125,54,391533.65807
92,13,1754,885.692307692,66,679.478646294,11514,0.247784852982,0.0775556763013,1.69277191162e-05,0.105376704532,1,13,876,156.153846154,66,227.002880361,2030,0.303797006607,0.0941630800565,2.59876251221e-05,0.118800955791,64.0,26,1754,520.923076923,66,384725.193846
93,151,1414,481.768211921,60,481.042166464,72747,27.9356100559,1.96703549226,0.0,4.84379518165,4,151,1835,534.397350993,54,496.380030212,80694,27.6784009933,1.96704181353,1.50203704834e-05,4.74801952806,128.0,302,1835,508.082781457,54,238798.42834
94,159,1414,416.006289308,60,436.755362641,66145,30.1546189785,2.66410793081,0.0,6.72370385709,4,137,1883,569.175182482,54,517.733762176,77977,30.0754778385,3.09507365437,5.41210174561e-05,7.12824967118,128.0,296,1883,486.898648649,54,231594.552405
95,20,398,100.45,66,79.2613764041,2009,45.0908269882,12.6413097382,6.91413879395e-06,20.1804232645,0,17,583,139.647058824,66,153.885891644,2374,45.0919981003,15.0116725713,0.000169038772583,21.2303240645,64.0,37,583,118.459459459,66,14232.6996997
96,3891,4110,1790.59521974,66,636.341835807,6967206,6.37704491615,0.0041903120693,3.09944152832e-06,0.105803038245,1,1780,640,76.5,66,31.0726993928,136170,3.54964399338,0.00916324457873,5.00679016113e-06,0.101499744362,64.0,5671,4110,1252.57908658,66,910973.812042
97,81,1474,1030.35802469,60,614.978298573,83459,10.0160369873,1.45281066298,9.53674316406e-07,3.49262346978,5,37,571,81.8918918919,54,101.06675016,3030,10.0159959793,3.23056177961,0.000103950500488,4.65013897399,128.0,118,1474,732.957627119,54,457022.19477
