,b_num,b_size_max,b_size_mean,b_size_min,b_size_std,b_size_sum,b_time_max,b_time_mean,b_time_min,b_time_std,class,f_num,f_size_max,f_size_mean,f_size_min,f_size_std,f_size_sum,f_time_max,f_time_mean,f_time_min,f_time_std,f_ttl_mean,t_num,t_size_max,t_size_mean,t_size_min,t_size_var
0,4449,1414,321.330636098,60,440.182401347,1429600,10.8556210995,0.896975938365,2.28881835938e-05,2.3415415859,,5148,1414,726.683760684,54,625.771423387,3740968,10.5880391598,0.775210915664,1.90734863281e-06,2.11713973594,128.0,9597,1414,538.769198708,54,340714.067088
1,143,1414,492.405594406,60,481.954475054,70414,30.5173339844,2.61714639462,9.53674316406e-07,5.99273488508,4.0,155,1211,525.606451613,54,481.203179497,81469,30.2641439438,2.41321876606,9.10758972168e-05,5.69857370226,128.0,298,1414,509.674496644,54,231398.873489
2,113,1414,449.96460177,60,471.900525406,50846,65.9374270439,2.51062550076,2.14576721191e-06,6.97702660467,4.0,114,1723,533.736842105,54,485.306436404,60846,65.7224729061,2.49030248676,9.51290130615e-05,6.87057070803,128.0,227,1723,492.035242291,54,229883.043
3,154,1414,190.805194805,60,384.37553257,29384,63.4342780113,0.520392980451,6.50882720947e-05,5.21441057978,,259,1414,1325.76833977,54,318.905237926,343374,11.9218230247,0.0638019955435,1.90734863281e-06,0.745016958824,128.0,413,1414,902.561743341,54,420503.75164
4,157,1414,396.369426752,60,434.539459815,62230,19.3826241493,1.89365717998,9.53674316406e-07,3.67011214702,4.0,158,1867,564.462025316,54,490.077241229,89185,19.1313579082,1.88293462346,1.00135803223e-05,3.54479330132,128.0,315,1867,480.682539683,54,220984.975331
5,31,590,519.35483871,60,172.988351898,16100,0.196007966995,0.0352739651998,0.0,0.0695958795974,6.0,20,2635,231.0,54,577.660800124,4620,0.194797992706,0.0556475237796,3.09944152832e-05,0.0840052397307,128.0,51,2635,406.274509804,54,164974.443137
6,8,2086,1020.5,60,766.549784051,8164,0.0733091831207,0.0213167326791,0.000221967697144,0.035503904122,1.0,11,276,87.4545454545,54,72.9717255331,962,11.5978498459,1.18657538891,0.000216007232666,3.65839596696,64.0,19,2086,480.315789474,54,455476.116959
7,2180,1414,340.952752294,60,447.719060467,743277,10.2697339058,0.834133752173,2.38418579102e-05,2.24099297049,,2176,1414,626.925091912,54,609.066673507,1364189,10.0049240589,0.835788965554,2.86102294922e-06,2.1604278602,128.0,4356,1414,483.807621671,54,306013.09731
8,160,1414,421.2375,60,457.639300544,67398,35.0519230366,2.73519228239,9.53674316406e-07,6.44641918761,4.0,150,1339,560.206666667,54,497.734697892,84031,34.9704568386,2.91876789227,6.5803527832e-05,6.58658887426,128.0,310,1414,488.480645161,54,232065.868556
9,89,1414,869.393258427,60,647.653607929,77376,10.0890409946,2.55776776238,0.0,4.35969233225,5.0,46,571,84.2391304348,54,102.865215972,3875,10.0895040035,5.00366544194,1.78813934326e-05,4.99649252417,128.0,135,1414,601.859259259,54,418530.942731
10,23,2762,854.695652174,66,770.449009273,19658,29.996942997,1.37725540725,0.00022292137146,6.39234677142,1.0,22,563,107.545454545,54,116.141837453,2366,29.9971370697,1.44610962414,0.000130891799927,6.54192511806,64.0,45,2762,489.422222222,54,445893.385859
11,30,1414,957.2,60,607.485512812,28716,6.92482590675,0.252641275011,0.0,1.28359797407,5.0,15,582,148.2,54,182.405826975,2223,6.92483711243,0.524115868977,1.21593475342e-05,1.84263514903,128.0,45,1414,687.533333333,54,402562.209091
12,157,1414,419.133757962,60,449.119681604,65804,10.0232269764,1.49451461511,0.0,2.87056958495,4.0,155,1723,555.012903226,54,484.506952319,86027,9.76658010483,1.51533061653,1.4066696167e-05,2.7664403654,128.0,312,1723,486.637820513,54,222050.24461
13,158,1147,413.32278481,60,435.092980311,65305,30.3053870201,2.50459242019,9.53674316406e-07,6.33626102757,4.0,134,1947,572.037313433,54,522.430876914,76653,30.2202191353,2.9565539862,7.15255737305e-06,6.75739662491,128.0,292,1947,486.157534247,54,233153.679565
14,14,1870,580.928571429,60,658.301014183,8133,45.1159348488,12.4967722159,4.31537628174e-05,19.4017367118,1.0,17,540,146.117647059,66,162.596464581,2484,45.0000369549,10.1536803693,0.000113964080811,18.0240002049,64.0,31,1870,342.483870968,60,250272.724731
15,141,1414,1014.11347518,66,583.003468407,142990,0.0682470798492,0.00292837108885,1.28746032715e-05,0.0105249033026,,109,551,126.467889908,66,139.292030615,13785,0.0827579498291,0.00343595169209,1.09672546387e-05,0.013478894581,64.0,250,1414,627.1,66,394049.455823
16,51,1414,1186.23529412,66,475.454796515,60498,0.0828759670258,0.00758518218994,2.50339508057e-05,0.0212221721013,,49,567,88.1428571429,66,78.2477369215,4319,0.0761611461639,0.00805101792018,1.4066696167e-05,0.0215100647202,64.0,100,1414,648.17,66,421513.839495
