,b_num,b_size_max,b_size_mean,b_size_min,b_size_std,b_size_sum,b_time_max,b_time_mean,b_time_min,b_time_std,class,f_num,f_size_max,f_size_mean,f_size_min,f_size_std,f_size_sum,f_time_max,f_time_mean,f_time_min,f_time_std,f_ttl_mean,t_num,t_size_max,t_size_mean,t_size_min,t_size_var
0,658,1414,709.711246201,66,594.825419992,466990,19.9826829433,0.980805444572,2.86102294922e-06,3.02908175905,2,559,1414,177.357781753,66,309.917703389,99143,19.9062490463,1.15495529183,2.86102294922e-06,3.23038685892,64.0,1217,1414,465.187345933,66,305680.275728
1,343,1414,1325.62390671,60,314.958200531,454689,46.1716628075,0.168113172403,5.96046447754e-06,2.52587640499,2,264,531,82.3181818182,54,72.468775831,21732,46.0951218605,0.218613433294,4.05311584473e-06,2.87470668449,64.0,607,1414,784.878088962,54,438795.859701
2,43,1414,456.139534884,66,553.467277881,19614,46.247590065,5.81156895274,3.81469726562e-06,15.0694097846,2,40,360,114.05,54,95.9299824792,4562,46.247615099,6.25861192361,4.05311584473e-06,15.5612311447,64.0,83,1414,291.277108434,54,190849.93447
3,32,1414,200.4375,66,333.076561721,6414,46.3031990528,19.4287935765,2.86102294922e-06,23.1445286332,2,35,816,105.8,54,134.649610646,3703,46.2905519009,17.7144994736,5.00679016113e-06,22.7606204919,64.0,67,1414,151.0,54,63716.5757576
4,176,1414,1179.21590909,60,450.932632254,207542,46.2648119926,1.30393568584,3.81469726562e-06,7.5909389793,2,130,485,83.8,54,80.2390227707,10894,46.1915180683,1.7689386523,2.86102294922e-06,8.80027258453,64.0,306,1414,713.843137255,54,413559.962199
5,957,1414,559.147335423,66,564.553330146,535104,19.897439003,1.36867121872,2.86102294922e-06,3.44406782564,2,864,1414,203.829861111,66,339.948407901,176109,19.8048710823,1.52225937904,2.86102294922e-06,3.55797769549,64.0,1821,1414,390.561779242,66,253711.495769
6,491,1414,1353.78411405,60,259.327549227,664708,46.1860649586,0.11721696513,4.05311584473e-06,2.11215363413,2,352,533,75.0596590909,54,55.4539347639,26421,46.1120898724,0.163641056784,2.86102294922e-06,2.49091284527,64.0,843,1414,819.84460261,54,438560.756108
7,46,1414,430.695652174,66,529.773027692,19812,46.2020280361,5.41999275419,2.86102294922e-06,14.6387164702,2,41,361,112.951219512,54,95.20923044,4631,46.2019650936,6.09749449492,3.81469726562e-06,15.4121907745,64.0,87,1414,280.954022989,54,176522.416466
8,38,1414,188.552631579,66,323.144240019,7165,46.3271229267,24.4293535916,9.05990600586e-06,22.9982208363,2,43,763,104.88372093,54,151.545562739,4510,46.3306059837,21.5230909756,4.05311584473e-06,22.9852571191,64.0,81,1414,144.135802469,54,62117.6938272
9,24,1414,296.583333333,66,446.705906237,7118,46.3062839508,10.4471673862,2.14576721191e-06,19.3889112407,2,28,393,102.5,54,89.3459775463,2870,46.306385994,8.89947540672,3.09944152832e-06,18.2333751552,64.0,52,1414,192.076923077,54,103762.464555
10,25,1414,276.92,66,397.370096174,6923,46.2353889942,10.0086244146,1.12056732178e-05,19.0465221775,2,25,381,106.04,54,91.5421032458,2651,46.2356379032,10.0086274644,1.09672546387e-05,19.0510003283,64.0,50,1414,191.48,54,88893.6832653
11,156,1414,1230.22435897,60,428.512213455,191915,46.2348511219,1.46526960711,3.81469726562e-06,8.03497003222,2,113,457,79.0619469027,54,66.9040201635,8934,46.2350690365,2.0278523394,3.09944152832e-06,9.39955112375,64.0,269,1414,746.650557621,54,432103.280419
12,118,1414,1158.83898305,60,479.153419578,136743,46.2925059795,1.94203351298,4.76837158203e-06,9.20647682956,2,85,457,78.7647058824,54,64.9062780474,6695,46.2341849804,2.70500620206,3.81469726562e-06,10.7831709599,64.0,203,1414,706.591133005,54,420069.817149
13,13,1414,365.307692308,60,505.212559988,4749,46.3606100082,17.0732000073,5.96046447754e-06,21.9718988102,2,15,470,113.266666667,54,117.267987756,1699,46.360188961,14.6341796432,3.81469726562e-06,21.0964843364,64.0,28,1414,230.285714286,54,136955.767196
14,17,1414,387.529411765,66,506.325749598,6588,0.0831120014191,0.0162711143494,1.90734863281e-06,0.0326347282701,2,20,391,120.0,66,100.653653161,2400,0.0827910900116,0.0137227334474,3.09944152832e-06,0.0290356276708,64.0,37,1414,242.918918919,66,137556.465465
15,8,1414,800.875,66,661.479173088,6407,0.0828101634979,0.0229024546487,5.00679016113e-06,0.0385558385176,2,8,583,147.875,66,181.139596917,1183,0.114046812057,0.0391939708165,9.51290130615e-05,0.0493403979616,64.0,16,1414,474.375,66,333213.316667
16,20,1414,386.3,66,472.052862785,7726,0.127442121506,0.026656263753,2.86102294922e-06,0.0453523480596,2,25,357,114.96,66,87.6134883071,2874,0.118093967438,0.0196506679058,3.09944152832e-06,0.0369064600609,64.0,45,1414,235.555555556,66,119002.979798
17,15,1414,796.2,66,633.495089619,11943,7.00913310051,0.51944065094,6.91413879395e-06,1.86821013675,2,13,659,138.615384615,66,169.432650563,1802,7.00919103622,0.612525602182,6.69956207275e-05,2.01478597514,64.0,28,1414,490.892857143,66,332384.914021
18,8,1414,800.875,66,661.479173088,6407,0.082072019577,0.0238308565957,7.86781311035e-06,0.0393567582173,2,9,583,138.777777778,66,171.624428461,1249,0.0889048576355,0.0319648683071,6.19888305664e-06,0.0436519433884,64.0,17,1414,450.352941176,66,322197.492647
19,7,1414,618.571428571,66,590.469264552,4330,0.227843046188,0.110672871272,4.05311584473e-06,0.12097586874,2,9,470,150.111111111,66,142.209743376,1351,0.219563007355,0.110052138567,2.86102294922e-06,0.115196092038,64.0,16,1414,355.0625,66,207854.4625
20,940,1414,556.842553191,66,561.293381926,523432,15.230711937,1.34561083721,3.09944152832e-06,3.35255983188,2,845,1414,196.119526627,54,329.880315306,165721,15.1506109238,1.49716704265,2.14576721191e-06,3.47083608159,64.0,1785,1414,386.080112045,54,249764.128668
21,128,1414,1243.625,60,428.606311291,159184,46.1875829697,0.461985158169,4.76837158203e-06,4.14759287746,2,91,533,88.3186813187,54,90.3419281423,8037,46.1095509529,0.651947265201,4.05311584473e-06,4.91321107931,64.0,219,1414,763.566210046,54,436034.824725
22,26,1414,268.769230769,66,391.506557564,6988,46.1710469723,9.60743412018,8.10623168945e-06,18.7108498941,2,25,380,106.0,54,91.4170844718,2650,46.2110362053,10.0077766677,3.81469726562e-06,19.0081270904,64.0,51,1414,188.980392157,54,87403.4196078
23,42,1414,171.333333333,66,294.600073408,7196,46.6642990112,21.9810260738,5.00679016113e-06,23.0179759617,2,46,782,93.3913043478,54,114.305142931,4296,46.5876550674,20.0288679335,4.05311584473e-06,22.8370004936,64.0,88,1414,130.590909091,54,49191.784744
24,403,1414,1347.11662531,66,278.429691897,542888,6.99523496628,0.0285888779816,5.00679016113e-06,0.379448309581,2,297,477,76.1077441077,66,58.4881759877,22604,6.99532604218,0.0391060613297,4.05311584473e-06,0.440061112961,64.0,700,1414,807.845714286,66,441202.233673
25,79,1414,1105.11392405,66,543.17440622,87304,7.00463700294,0.15574106192,5.96046447754e-06,0.862615215669,2,59,531,107.203389831,66,119.61184056,6325,7.00475502014,0.210878137884,4.05311584473e-06,0.990281931711,64.0,138,1414,678.471014493,66,419541.375066
26,318,1414,1315.32389937,66,330.967474068,418273,7.01875782013,0.0323551919558,4.05311584473e-06,0.399623173868,2,255,525,85.9529411765,66,80.4838085955,21918,7.01879811287,0.0407027437931,3.81469726562e-06,0.445029665814,64.0,573,1414,768.221640489,66,437506.067922
27,16,1414,391.4375,66,485.778820555,6263,0.0625340938568,0.0154669443766,1.19209289551e-05,0.0216524296235,2,15,380,136.666666667,66,108.543386103,2050,0.0771238803864,0.0137893642698,4.05311584473e-06,0.0251377454352,64.0,31,1414,268.161290323,66,140239.139785
